3411,Barter Island LRRS Airport,Barter Island,BTI,PABA,70.1340026855,-143.582000732,0
3413,Cape Lisburne LRRS Airport,Cape Lisburne,LUR,PALU,68.87509918,-166.1100006,0
3414,Point Lay LRRS Airport,Point Lay,PIZ,PPIZ,69.73290253,-163.0050049,0
3415,Hilo International Airport,Hilo,ITO,PHTO,19.721399307250977,-155.04800415039062,0
3416,Orlando Executive Airport,Orlando,ORL,KORL,28.545499801636,-81.332901000977,0
3417,Bettles Airport,Bettles,BTT,PABT,66.91390228,-151.529007,0
3418,Clear Airport,Clear Mews,Z84,PACL,64.301201,-149.119995,0
3419,Indian Mountain LRRS Airport,Indian Mountains,UTO,PAIM,65.99279785,-153.7039948,0
3420,Fort Yukon Airport,Fort Yukon,FYU,PFYU,66.57150268554688,-145.25,0
3421,Sparrevohn LRRS Airport,Sparrevohn,SVW,PASV,61.09740067,-155.5740051,0
3422,Bryant Army Heliport,Fort Richardson,FRN,PAFR,61.26639938,-149.6529999,0
3423,Tatalina LRRS Airport,Tatalina,TLJ,PATL,62.894401550299996,-155.977005005,0
3424,Cape Romanzof LRRS Airport,Cape Romanzof,CZF,PACZ,61.78030014,-166.0390015,0
3425,Laurence G Hanscom Field,Bedford,BED,KBED,42.47000122,-71.28900146,0
3426,St Paul Island Airport,St. Paul Island,SNP,PASN,57.167301177978516,-170.22000122070312,0
3427,Cape Newenham LRRS Airport,Cape Newenham,EHM,PAEH,58.646400451699996,-162.06300354,0
3428,St George Airport,Point Barrow,STG,PAPB,56.578300476100004,-169.662002563,0
3429,Iliamna Airport,Iliamna,ILI,PAIL,59.75439835,-154.9109955,0
3430,Platinum Airport,Port Moller,PTU,PAPM,59.01139831542969,-161.82000732421875,0
3431,Big Mountain Airport,Big Mountain,BMX,PABM,59.3611984253,-155.259002686,0
3432,Oscoda Wurtsmith Airport,Oscoda,OSC,KOSC,44.45159912,-83.39409637,0
3433,Marina Municipal Airport,Fort Ord,OAR,KOAR,36.68190002,-121.762001,0
3434,Sacramento Mather Airport,Sacramento,MHR,KMHR,38.55390167,-121.2979965,0
